die Accessoires (Pl.) | the accessories (pl.)
die Kontonummer | the account number
der Kontostand | the account balance
das Kreditinstitut | the credit institution
die Kreditkarte | the credit card
die Kundennummer | the customer number
die Kundenreferenz | the customer reference
der Laden | the shop
die Leistung | the service
die Menge | the quantity
die Münze | the coin
der Nulltarif | the zero rate
das Online-Banking | online banking
der Pfennig | the penny
der PIN | the PIN
der Quatsch | the nonsense
die Rechnung | the bill
der Rechnungsbetrag | the invoice amount
die Rechnungsnummer | the invoice number
der Reichtum | the wealth
der Respekt | the respect
der Schein | the note
der/die Schornsteinfeger/in | the chimney sweep
das Sparkonto | the savings account
das Sparschwein | the piggy bank
die TAN | the TAN
die Taste | the key
der/die Täter/in | the perpetrator
der Überfall | the robbery
die Überwachungskamera | the surveillance camera
die Überweisung | the bank transfer
das Überweisungsformular | the transfer form
der Versuch | the attempt
der Verwendungszweck | the intended use
der Vorteil | the benefit
der/die Zahlungsempfänger/in | the payee
der Zeitungsartikel | the newspaper article
der/die Zeuge/Zeugin | the witness
der Appetit | the appetite
der Ausflug | the excursion
der Ausgleich | the compensation
die Aussicht | the view
der/die Babysitter/in | the babysitter
die Band | the band
das Basketball | the basketball
das Besteck | the cutlery
der Chor | the choir
der Daumen | the thumb
der Einlass | the entrance
das Event | the event
das Feuerzeug | the lighter
die Freizeit | leisure time
die Freizeitaktivität | the leisure activity
das Freizeitangebot | the leisure activity
das Freizeitvergnügen | the leisure activity
die Gabel | the fork
die Gastronomie | gastronomy
das Gedicht | the poem
der Gegensatz | the contrast
der/die Geiger/in | the violinist
das Geschirr | the crockery
der Grill | the barbecue
die Grillkohle | the charcoal
der Grillplatz | the barbecue area
die Grillsoße | the barbecue sauce
die Grillzange | the barbecue tongs
der/die Interviewpartner/in | the interviewee
der Kumpel | the mate
die Leidenschaft | the passion
