der Abfall | the waste
die Atmung | the breathing
der Auftrag | the order
die Auftragsnummer | the order number
die Auswahl | the selection
der Bankeinzug | the direct debit
die Bestellhotline | the order hotline
der Betrag | the amount
der Bezahlvorgang | the payment process
das Callcenter | the call center
der Datenschutz | the data protection
das Eigentum | the property
die Ergänzung | the addition
der Gutschein | the voucher
die Herstellung | the production
das Impressum | the imprint
der Kauf | the purchase
die Kaufbestätigung | the purchase confirmation
der/die Käufer/in | the buyer
der Kaufvertrag | the purchase contract
die Kosmetik | the cosmetics
die Kundenbefragung | the customer survey
das Lager | the warehouse
die Lieferbedingung | the delivery conditions
die Lieferung | the delivery
die Mehrkosten (Pl.) | the additional costs (pl.)
die Nachnahme | the cash on delivery
der Nachteil | the disadvantage
der Onlineeinkauf | the online purchase
der Onlineshop | the online shop
das Onlineshopping | the online shopping
das Paket | the package
der Paketbote | the courier
der Paketdienst | the parcel service
das Porto | the postage
die Portokosten (Pl.) | the postage costs (pl.)
die Qualität | the quality
die Reklamation | the complaint
die Retoure | the return
der Retourenschein | the return slip
die Rücksendung | the return
das Shopping | the shopping
der/die Verbraucher/in | the consumer
der Versand | the dispatch
die Versandkosten (Pl.) | the shipping costs (pl.)
die Versandkostenpauschale | the flat rate shipping costs
die Ware | the goods
der Warenkorb | the shopping cart
der Werktag | the working day
das Widerrufsrecht | the right of withdrawal
die Zahlung | the payment
das Alter | the age
der Anstoß | the kick-off
das Autorennen | the car race
der Biergarten | the beer garden
das Boxen | the boxing
die Chips (Pl.) | the chips (pl.)
die Detektivgeschichte | the detective story
das Diagramm | the diagram
die Diskussion | the discussion
die Dokumentation (Doku) | the documentation (doc)
der Durchschnitt | the average
die DVD | the DVD
das Eishockey | the ice hockey
der Eiskunstlauf | the figure skating
das Ereignis | the event
das Ergebnis | the result
der/die Experte/Expertin | the expert
der Fan | the fan
der Fußballclub | the football club
die Gewohnheit | the habit
das Golf | the golf
der Handball | the handball
das Herz | the heart
der Horrorfilm | the horror film
der/die Kandidat/in | the candidate
der/die Kommissar/in | the inspector
der/die Kommentator/in | the commentator
die Komödie | the comedy
der Krimi | the crime thriller
die Langeweile | the boredom
die Leichtathletik | the athletics
die Lieblingsbeschäftigung | the favourite pastime
das Magazin | the magazine
die Mannschaft | the team
die Mehrheit | the majority
die Minderheit | the minority
das Mittelfeld | the midfield
die Moderation | the presenter
der Mord | the murder
die Niederlage | the defeat
die Quizshow | the quiz show
das Radrennen | the cycling race
die Rangliste | the rankings
das Rätsel | the riddle
die Reportage | the report
der/die Reporter/in | the reporter
die Runde | the round
der Schiedsrichter | the referee
die Seifenoper | the soap opera
die Sendung | the programme
die Serie | the series
der/die Sieger/in | the winner
der Skisport | the skiing
die Soap | the soap
der/die Spieler/in | the player
der Spielfilm | the feature film
das Stadion | the stadium
die Statistik | the statistics
der Tagesablauf | the daily routine
die Talkshow | the talk show
das Tor | the goal
der/die Torwart/in | the goalkeeper
der/die Tote | the dead person
die Übertragung | the broadcast
die Unterhaltung | the entertainment
der/die Verlierer/in | the loser
die Weltmeisterschaft (WM) | the World Cup
der Zeichentrickfilm | the cartoon
die Zeitverschwendung | the waste of time
der/die Zuschauer/in | the spectator
der/die Alliierte | the Allies
die Amtssprache | the official language
die Arbeitskraft | the workforce
die Arbeitslosigkeit | unemployment
der/die Astronaut/in | the astronaut
das Asyl | asylum
der Auswanderer | the emigrant
die Auswanderung | emigration
die Besatzungszone | the occupied zone
der/die Bundeskanzler/in | the Chancellor
die Bundesrepublik (BRD) | the Federal Republic (FRG)
der/die Bürger/in | the citizen
der Bürgerkrieg | the civil war
die Demokratie | democracy
die Demonstration | the demonstration
die Deutsche Demokratische Republik | the German Democratic Republic
 | (GDR)
(DDR) | immigration
die Einwanderung | memory
die Erinnerung | the European Union (EU)
die Europäische Union (EU) | the introduction of the euro
die Euroeinführung | the refugee
der Flüchtling | the foreign language
die Fremdsprache | the guest worker
der/die Gastarbeiter/in | the feeling
das Gefühl | the opponent
der/die Gegner/in | the salary
das Gehalt | the spice
das Gewürz | the border
die Grenze | the capital
die Hauptstadt | the homeland
die Heimat | the industry
die Industrie | the century
das Jahrhundert | the decade
das Jahrzehnt | the Jew
der/die Jude/Jüdin | childhood
die Kindheit | the war
der Krieg | the end of the war
das Kriegsende | the crib
die Krippe | the critic
der/die Kritiker/in | the wall
die Mauer | the building of the wall
der Mauerbau | the fall of the wall
der Mauerfall | medicine
die Medizin | migration
die Migration | the mother tongue
die Muttersprache | the post-war period
die Nachkriegszeit | National Socialism
der Nationalsozialismus | NATO
die NATO | the emergency shelter
die Notunterkunft | the opening
die Öffnung | the phase
die Phase | the protest
der Protest | the government
die Regierung | the republic
die Republik | the Russian German
der/die Russlanddeutsche | the state
der Staat | the founding of the state
die Staatsgründung | the scholarship
das Stipendium | the division
die Teilung | the visa
das Visum | space
das Weltall | the reunification
